Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,80
Parameter: tHigherSitL,100
Parameter: tLowerSitDB,80
Parameter: tHigherSitDB,100
Parameter: tLowerSitNB,80
Parameter: tHigherSitNB,100
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,DB_HighThreat_Series

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical,l_loss_mean,l_loss_ci95,db_loss_mean,db_loss_ci95,nb_loss_mean,nb_loss_ci95
54,671,106,410,246,63,611,47,350,188,7,497,470,533,122,4,0,12,0,0,0,94,28,28,286,325,287,27,63,1081,122,704.6645753444477,180.4460090126766,78.84892403950613,12.53566994848796,58.780463064075846,14.351579458173317
55,743,246,125,104,71,675,182,71,36,10,527,481,492,253,211,0,0,0,1,0,337,38,81,552,99,34,29,37,721,253,1030.46774970047,221.45708890251169,97.85840805397899,13.304354826501953,42.6925489986958,27.068804741440584
56,602,112,516,203,67,536,43,455,153,12,474,494,532,154,0,0,0,0,0,0,16,18,35,241,291,383,34,72,1045,154,923.6625161319096,210.09643750042713,73.07396000061946,11.70822471814024,39.127544301087156,9.319947892597687
57,726,188,133,120,60,654,127,79,46,8,520,495,485,206,273,0,0,0,1,0,360,37,91,524,41,29,24,50,708,206,960.6593885073432,230.61279678080595,96.83048135012716,14.645128523062592,5.131454007707902,2.5823320042656133
58,361,80,97,639,63,296,33,31,586,0,495,438,567,269,260,0,0,0,0,0,346,33,2,249,46,5,26,26,677,269,1121.811663284683,238.395627829911,84.5535832238326,14.055970249952688,32.08633344831786,33.95882673493539
59,366,112,120,552,70,307,55,60,494,1,511,511,478,227,280,0,0,0,0,0,387,20,12,260,42,29,24,31,690,227,1046.3069209018681,226.56209673585926,96.10462606770842,14.50904085055311,4.510728291343925,4.91506385794588
60,524,303,462,120,72,459,241,403,58,0,524,483,493,238,19,0,0,0,1,0,52,18,64,142,315,326,36,77,923,238,938.3142949423471,220.17025954003518,75.21587756776619,12.750339950908785,20.283031676773,7.338144340620934
61,740,154,140,132,69,672,84,91,79,0,489,508,503,156,265,0,0,0,0,0,362,19,31,605,40,31,30,60,770,156,979.9786855410589,224.82482975426618,92.16152340276685,14.004675952648777,22.124178732707385,17.130185764094836
62,318,94,88,664,61,256,42,22,609,0,500,507,493,232,275,0,0,0,0,0,416,39,2,219,36,0,21,22,697,232,992.447365044222,225.16942039610032,88.26823737044049,13.699886733705421,5.154149751976081,1.70911171532479
63,709,91,237,222,71,646,26,183,157,0,482,499,519,205,170,0,1,0,0,0,257,26,106,500,117,119,39,64,807,205,1041.5429844638486,230.07736625642715,104.6533756533525,15.595575485718168,396.81750645995606,362.4367859071007
64,320,89,96,654,66,268,33,41,586,0,531,474,495,250,275,0,0,0,0,0,372,33,0,216,52,0,41,41,678,250,1102.572356165396,239.44575107725998,102.19459122825775,14.634539695415565,5.895789891205745,2.3911544085819845
