Run,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
183,203,0,0,0,14,39,0,0,311,0,0,0,345,19,41,1000,203
184,194,0,0,13,30,19,0,10,298,0,0,0,364,16,16,1003,194
185,234,0,0,13,4,274,0,0,330,0,0,0,130,26,41,960,234
186,283,0,0,0,171,4,0,0,20,0,0,0,383,26,63,908,283
187,239,0,0,10,18,193,0,0,308,0,0,0,209,19,46,964,239
188,205,0,0,24,34,155,0,9,309,0,0,0,231,17,19,1008,205
189,217,0,0,0,11,46,0,0,368,0,0,0,332,22,38,991,217
190,267,0,0,0,163,3,0,0,54,0,0,0,388,24,53,942,267
191,228,0,0,12,15,206,0,15,361,0,0,0,170,8,8,974,228
192,172,0,0,13,19,38,0,0,315,0,0,0,358,19,39,1030,172
193,204,0,0,0,72,3,0,0,201,0,0,0,407,33,71,1004,204
194,263,0,0,0,14,194,0,0,309,0,0,0,188,25,58,951,263
195,183,0,0,11,22,53,0,0,319,0,0,0,352,22,46,1024,183
196,216,0,0,0,9,48,0,0,365,0,0,0,343,28,53,1002,216
197,169,0,0,13,6,47,0,0,363,0,0,0,362,24,33,1060,169
198,197,0,0,15,21,76,0,5,343,0,0,0,319,20,26,1012,197
199,199,0,0,20,41,64,0,4,275,0,0,0,327,15,29,992,199
200,215,0,0,8,6,171,0,1,345,0,0,0,193,31,59,981,215
,,,,,,,,,,,,,,,,,
Statistic,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
Total,40446,0,0,2968,10197,14784,0,268,50561,0,8,5,64267,4479,8324,199839,40446
Mean,202.23,0,0,14.84,50.98,73.92,0,1.34,252.81,0,0.04,0.03,321.33,22.39,41.62,999.2,202.23
Std,31.96,0,0,17.03,61.02,72.47,0,2.81,123.82,0,0.22,0.19,72.95,5.71,14.87,32.06,31.96
Min,133,0,0,0,0,0,0,0,2,0,0,0,66,6,6,888,133
Max,311,0,0,83,190,333,0,15,377,0,2,2,428,37,74,1070,311
