Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,80
Parameter: tHigherSitL,100
Parameter: tLowerSitDB,80
Parameter: tHigherSitDB,100
Parameter: tLowerSitNB,80
Parameter: tHigherSitNB,100
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,DB_HighThreat_2

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
167,465,106,124,509,60,496,506,498,215,236,0,0,0,0,0,373,23,16,325,63,21,40,48,740,215
168,315,103,85,663,71,512,484,504,241,263,0,0,0,0,0,385,34,7,209,50,2,33,33,700,241
169,357,101,117,629,62,469,508,523,208,234,0,0,0,3,0,389,32,2,252,58,15,26,52,766,208
170,417,89,118,582,68,496,493,511,223,226,0,0,0,0,0,371,36,14,295,63,19,24,36,762,223
171,685,90,464,175,63,495,515,490,214,23,0,0,0,0,0,72,26,87,312,277,325,48,77,976,214
172,458,84,106,544,69,493,477,530,197,239,0,2,0,0,0,372,22,13,325,74,11,26,33,762,197
173,494,344,491,99,67,514,457,529,218,5,0,0,0,0,0,8,12,73,96,322,359,29,70,960,218
174,618,119,398,294,71,493,503,504,194,0,0,13,0,1,0,139,30,85,263,287,261,35,74,997,194
175,643,116,515,145,60,486,490,524,245,21,0,0,0,0,0,7,16,130,243,289,384,36,63,925,245
176,343,90,127,611,65,512,514,474,242,264,0,0,0,0,0,374,30,11,226,50,32,28,43,705,242
177,491,83,107,536,66,474,502,524,225,217,0,0,0,0,0,390,26,8,379,55,4,49,52,745,225
178,330,76,89,689,67,475,490,535,278,249,0,0,0,0,0,394,24,2,219,54,3,22,28,679,278
179,703,83,142,328,69,507,481,512,259,175,0,24,0,0,0,323,23,95,483,156,45,32,33,765,259
180,523,94,457,353,70,485,491,524,205,3,0,36,0,0,0,90,35,94,203,275,322,36,70,1000,205
181,663,121,521,121,74,494,506,500,213,0,0,0,0,1,0,5,4,141,266,321,397,33,69,982,213
182,563,79,106,445,61,476,510,514,192,246,0,0,0,1,0,404,17,8,454,51,2,39,47,768,192
183,414,76,87,599,68,498,485,517,252,256,0,0,0,0,0,384,28,2,299,47,0,29,29,698,252
184,532,98,127,436,66,505,473,522,197,241,0,2,0,0,0,350,37,16,398,65,25,23,38,762,197
