Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,20
Parameter: tHigherSitL,40
Parameter: tLowerSitDB,20
Parameter: tHigherSitDB,40
Parameter: tLowerSitNB,20
Parameter: tHigherSitNB,40
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,random_NB_lowThreat

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
139,292,303,296,331,278,494,520,486,331,0,0,21,46,207,0,221,91,3,200,89,92,100,204,1169,331
140,277,297,300,330,296,489,486,525,334,0,0,26,43,183,0,206,108,2,184,91,97,93,203,1166,334
141,306,288,295,284,327,493,507,500,341,0,0,20,57,214,0,190,96,1,195,111,103,86,192,1159,341
142,301,301,292,285,321,502,476,522,328,0,0,28,53,195,0,182,104,3,183,115,99,84,193,1172,328
143,323,299,274,298,306,509,494,497,331,0,0,18,51,188,0,211,102,6,213,104,95,96,179,1169,331
144,288,294,316,305,297,480,483,537,366,0,0,0,56,190,0,201,85,8,184,96,92,103,224,1134,366
145,305,334,295,292,274,499,508,493,332,0,0,14,49,216,0,195,111,2,204,100,97,99,198,1168,332
146,317,290,301,282,310,476,503,521,330,0,0,23,49,201,0,205,83,0,213,104,97,104,204,1170,330
147,316,328,293,285,278,507,494,499,334,0,0,3,52,206,0,210,98,0,220,96,78,117,215,1166,334
148,308,299,307,282,304,477,498,525,319,0,0,29,50,208,0,193,97,0,208,100,97,97,210,1181,319
149,287,278,275,337,323,524,470,506,381,0,0,0,61,195,0,187,92,1,188,99,88,97,187,1119,381
150,297,297,289,323,294,519,479,502,339,0,0,18,55,190,0,198,114,2,199,96,91,101,198,1161,339
151,313,316,274,288,309,502,501,497,394,0,0,0,42,210,0,186,108,1,205,107,105,94,169,1106,394
152,307,295,277,320,301,480,507,513,321,0,0,29,53,191,0,217,104,2,214,92,99,81,178,1179,321
153,307,310,290,281,312,457,531,512,340,0,0,15,48,228,0,212,83,0,206,101,91,101,199,1160,340
154,299,298,318,268,317,484,523,493,355,0,0,17,48,221,0,190,86,3,188,108,112,99,206,1145,355
155,299,281,318,290,312,501,522,477,370,0,0,0,52,212,0,215,88,2,206,91,95,121,223,1130,370
156,307,299,302,303,289,528,473,499,328,0,0,27,57,184,0,194,98,0,190,117,95,105,207,1172,328
157,297,301,313,296,293,489,513,498,308,0,0,23,53,201,0,197,84,2,195,101,115,102,198,1192,308
158,297,331,314,292,266,486,489,525,336,0,0,1,45,200,0,184,101,2,200,95,105,115,209,1164,336
159,310,306,281,324,279,482,513,505,372,0,0,0,43,195,0,214,92,2,209,99,104,92,177,1128,372
160,331,271,315,273,310,522,490,488,297,0,0,16,58,197,0,191,89,3,200,128,102,109,213,1203,297
161,314,293,305,287,301,477,501,522,303,0,0,21,49,197,0,200,89,2,205,108,104,98,201,1197,303
162,300,308,301,289,302,529,478,493,403,0,0,0,50,190,0,179,122,4,188,108,109,102,192,1097,403
163,297,328,284,283,308,479,519,502,369,0,0,0,52,225,0,207,101,3,202,92,87,92,197,1131,369
164,296,310,302,290,302,478,488,534,346,0,0,3,47,193,0,194,91,2,193,101,101,97,201,1154,346
165,303,291,291,305,310,493,502,505,368,0,0,2,52,195,0,207,98,1,198,104,100,92,191,1132,368
166,279,326,272,319,304,455,516,529,379,0,0,0,43,209,0,209,101,1,194,84,98,79,174,1121,379
167,309,288,297,279,327,480,509,511,328,0,0,17,56,207,0,190,86,4,195,112,112,92,185,1172,328
168,309,310,293,275,313,501,496,503,336,0,0,17,49,197,0,204,109,2,215,92,95,104,198,1164,336
169,292,313,306,310,279,495,514,491,368,0,0,28,44,193,0,209,104,3,192,97,112,98,194,1132,368
170,298,290,315,289,308,503,478,519,384,0,0,1,50,184,0,199,97,6,194,100,95,110,220,1116,384
171,297,280,309,324,290,493,485,522,329,0,0,28,46,179,0,212,90,0,204,93,94,113,215,1171,329
172,292,313,308,282,305,496,507,497,314,0,0,22,52,211,0,197,100,3,209,81,99,107,209,1186,314
173,310,320,293,293,284,502,484,514,343,0,0,2,46,188,0,193,113,2,206,102,103,93,190,1157,343
174,294,284,295,304,323,486,508,506,319,0,0,12,53,207,0,200,92,2,193,99,101,93,194,1181,319
175,275,325,300,283,317,519,483,498,349,0,0,0,51,212,0,188,104,0,180,95,83,114,217,1151,349
176,310,314,296,289,291,506,488,506,338,0,0,3,43,201,0,201,93,0,207,103,86,118,210,1162,338
177,330,294,255,297,324,504,473,523,343,0,0,24,56,201,0,189,83,10,197,123,83,90,172,1157,343
178,280,321,277,297,325,535,498,467,325,0,0,22,51,227,0,185,120,0,173,107,86,98,191,1175,325
179,282,306,328,286,298,489,486,525,365,0,0,1,44,183,0,198,102,0,191,91,105,115,223,1135,365
180,263,312,313,302,310,489,490,521,342,0,0,0,51,202,0,179,108,0,164,99,109,86,204,1158,342
181,324,318,280,297,281,502,508,490,341,0,0,24,46,198,0,213,117,6,215,105,97,94,183,1159,341
182,311,299,306,293,291,513,501,486,330,0,0,27,53,192,0,216,102,1,208,102,93,108,213,1170,330
183,291,299,276,323,311,503,505,492,376,0,0,0,55,196,0,207,105,2,186,104,102,87,174,1124,376
184,304,305,290,305,296,464,516,520,367,0,0,1,38,219,0,202,100,4,203,98,95,86,195,1133,367
185,300,323,302,269,306,500,470,530,387,0,0,0,54,191,0,171,109,5,201,95,108,87,194,1113,387
