Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,40
Parameter: tHigherSitL,60
Parameter: tLowerSitDB,40
Parameter: tHigherSitDB,60
Parameter: tLowerSitNB,40
Parameter: tHigherSitNB,60
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,NB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,Random_NB_ModerateThreat

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
99,275,300,278,314,333,275,300,278,314,333,509,458,533,483,0,0,35,80,198,0,171,96,186,78,102,89,89,189,1017,483
100,331,287,293,284,305,331,287,293,284,305,501,466,533,535,0,0,11,67,194,0,183,104,211,88,120,89,96,204,965,535
101,286,272,305,312,325,286,272,305,312,325,502,491,507,531,0,0,34,74,193,0,201,85,187,56,96,97,110,208,969,531
102,306,323,291,292,288,306,323,291,292,288,483,500,517,463,0,0,50,60,198,0,190,104,154,105,104,112,80,179,1037,463
103,294,348,290,281,287,294,348,290,281,287,441,523,536,424,0,0,36,64,215,0,203,115,153,92,94,105,71,185,1076,424
104,276,314,317,294,299,276,314,317,294,299,499,519,482,477,0,0,41,82,222,0,193,103,204,52,93,104,100,213,1023,477
105,316,299,285,335,265,316,299,285,335,265,466,531,503,479,0,0,57,63,205,0,216,84,203,87,106,110,78,175,1021,479
106,284,293,334,299,290,284,293,334,299,290,479,489,532,485,0,0,41,73,186,0,189,91,175,83,85,114,105,220,1015,485
107,312,325,306,276,281,312,325,306,276,281,515,507,478,559,0,0,37,55,210,0,205,122,226,67,116,92,105,214,941,559
108,291,314,280,297,318,291,314,280,297,318,487,518,495,490,0,0,42,79,219,0,213,105,163,98,88,86,88,194,1010,490
109,290,294,299,312,305,290,294,299,312,305,455,521,524,471,0,0,52,58,216,0,193,84,172,78,95,112,95,187,1029,471
110,293,293,283,313,318,293,293,283,313,318,493,518,489,534,0,0,41,88,198,0,224,96,204,57,89,96,96,187,966,534
111,322,292,275,283,328,322,292,275,283,328,490,493,517,555,0,0,25,77,206,0,196,87,209,83,109,91,85,184,945,555
112,298,299,289,324,290,298,299,289,324,290,486,487,527,508,0,0,57,72,180,0,210,105,191,83,98,97,91,192,992,508
113,322,313,297,287,281,322,313,297,287,281,471,494,535,530,0,0,27,69,185,0,217,96,200,85,109,92,82,205,970,530
114,312,294,283,314,297,312,294,283,314,297,485,514,501,488,0,0,65,72,198,0,209,101,184,88,112,107,77,176,1012,488
115,312,279,291,305,313,312,279,291,305,313,458,507,535,589,0,0,23,67,213,0,203,81,246,50,99,91,93,200,911,589
116,312,286,297,305,300,312,286,297,305,300,513,486,501,546,0,0,19,82,193,0,196,101,213,80,106,97,98,200,954,546
117,308,296,315,299,282,308,296,315,299,282,518,511,471,523,0,0,47,60,199,0,204,99,183,94,107,108,115,207,977,523
118,296,309,301,304,290,296,309,301,304,290,493,512,495,512,0,0,41,78,208,0,195,93,226,63,106,109,90,192,988,512
119,298,320,296,275,311,298,320,296,275,311,487,466,547,510,0,0,50,77,209,0,170,105,193,76,97,87,102,209,990,510
120,307,264,295,341,293,307,264,295,341,293,523,476,501,524,0,0,36,93,178,0,211,92,186,92,95,87,109,208,976,524
121,305,285,303,299,308,305,285,303,299,308,515,486,499,533,0,0,24,74,194,0,192,102,188,72,116,100,105,203,967,533
122,314,285,311,300,290,314,285,311,300,290,518,468,514,473,0,0,41,78,182,0,184,94,179,87,113,102,110,209,1027,473
123,331,297,298,297,277,331,297,298,297,277,488,503,509,546,0,0,16,73,190,0,224,93,234,79,102,89,109,209,954,546
124,289,300,326,294,291,289,300,326,294,291,523,468,509,615,0,0,11,77,190,0,185,100,209,54,100,93,115,233,885,615
