Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,40
Parameter: tHigherSitL,60
Parameter: tLowerSitDB,40
Parameter: tHigherSitDB,60
Parameter: tLowerSitNB,40
Parameter: tHigherSitNB,60
Parameter: aLowerSitL,120
Parameter: aHigherSitL,140
Parameter: aLowerSitDB,120
Parameter: aHigherSitDB,140
Parameter: aLowerSitNB,120
Parameter: aHigherSitNB,140
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,DB_StrongAllies_ModerateThreat

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical,l_loss_mean,l_loss_ci95,db_loss_mean,db_loss_ci95,nb_loss_mean,nb_loss_ci95
68,587,50,200,592,71,522,6,129,529,0,449,528,523,81,0,0,3,0,0,0,384,6,1,418,104,41,59,88,1105,81,74.95972762632174,40.72134212305965,150.47652900399814,33.51227975498313,961.8979195583943,689.2680530646002
69,212,82,795,343,68,161,18,740,277,0,517,488,495,107,0,0,0,0,0,0,7,18,21,67,92,386,292,354,1089,107,21.6491678841137,11.304210513328817,187.27084413388948,38.460506610896715,18.136843182636422,5.113678784602743
70,831,89,131,379,70,767,29,77,324,15,510,503,487,57,0,0,3,8,1,0,369,16,4,471,296,30,14,47,1155,57,54.764219643439844,33.77287543170954,222.80529330798007,43.28385860696184,58.07736117911356,15.061732059736336
71,690,75,516,158,61,625,12,450,106,6,482,517,501,179,0,0,0,3,0,0,158,0,156,329,233,245,154,205,1020,179,38.18868900192623,29.2311808956745,99.5274375536678,24.928669724027618,22.736767965044827,9.74841193635417
72,619,70,649,95,67,560,16,593,33,5,467,497,536,125,0,0,0,0,0,0,91,11,111,333,135,327,214,266,1082,125,26.87673807452205,13.661843654514662,148.09112080911189,34.858785513706536,58.89759942992596,20.685298854308485
73,628,362,372,76,62,573,307,299,2,7,497,494,509,142,0,0,0,4,0,0,388,7,0,462,111,7,275,292,1046,142,40.578393917875836,32.04637632067765,159.99697629511584,35.74417658134022,464.6222740192199,642.0025253741778
74,325,60,411,640,64,275,0,350,567,3,517,468,515,208,0,0,0,3,0,0,192,0,56,205,18,178,127,172,987,208,29.538421829989044,19.837049107036524,93.79277123363485,24.437285796644762,11.932624957433857,3.7842898550842943
75,1149,78,120,78,75,1093,33,60,11,6,532,466,502,95,0,0,0,3,0,0,368,16,82,722,371,0,26,60,1108,95,76.93366618676026,39.66517747395946,198.355467251705,35.19870588876382,24.022435364098797,8.245491766347348
76,556,378,179,320,67,493,315,113,261,4,461,536,503,218,0,0,0,0,0,0,348,13,0,394,99,74,16,39,968,218,96.95910046022455,48.07282105583689,188.00149850804416,36.842779562945665,216.6937447442691,134.52227617156953
77,240,263,791,133,73,180,203,747,76,0,472,465,563,150,0,0,0,0,0,0,0,15,39,105,47,393,289,354,1056,150,23.882670292502908,15.926878743722293,167.25807980745358,37.3608941251217,16.092864389817873,2.6500035107078186
78,950,111,170,206,63,887,54,106,148,17,479,504,517,87,0,0,1,8,0,0,398,27,6,673,214,15,58,91,1125,87,100.76913095918935,49.6528577642544,233.8981608587701,43.630209402720816,236.77396043024322,130.8557397627734
79,652,275,204,295,74,589,210,153,231,1,500,502,498,221,0,0,0,0,0,0,315,18,1,461,128,70,42,83,963,221,124.6308469530616,50.29338267543181,194.24397870895274,37.928225794090295,96.53206207988546,50.5788724691018
80,512,70,747,100,71,446,10,682,54,12,506,491,503,157,0,0,0,0,0,0,55,10,126,249,109,345,280,337,1047,157,33.09960260046772,21.34579974553462,149.16619325837857,33.18773764279865,42.12389091381461,9.416037461379512
