Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,20
Parameter: tHigherSitL,40
Parameter: tLowerSitDB,20
Parameter: tHigherSitDB,40
Parameter: tLowerSitNB,20
Parameter: tHigherSitNB,40
Parameter: aLowerSitL,140
Parameter: aHigherSitL,160
Parameter: aLowerSitDB,140
Parameter: aHigherSitDB,160
Parameter: aLowerSitNB,140
Parameter: aHigherSitNB,160
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,DB_VeryStrongAllies_LowThreat

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical,l_loss_mean,l_loss_ci95,db_loss_mean,db_loss_ci95,nb_loss_mean,nb_loss_ci95
72,191,244,799,205,61,133,173,745,153,3,501,484,515,120,0,0,0,0,0,0,18,14,1,71,62,380,325,365,1087,120,8.837555493141902,3.4660106820207033,285.71536323295777,71.83142788149199,19.25385016464724,4.726245558120709
73,1061,63,85,239,52,981,9,29,174,3,476,508,516,159,0,0,0,3,0,0,403,9,104,657,250,4,8,25,1037,159,65.52713058223478,41.6856537432723,243.00742559371145,63.52077643827103,2462.0609060825077,2517.1694968747975
74,706,123,134,474,63,643,64,71,413,0,527,470,503,120,0,0,0,0,0,0,368,14,3,498,145,14,45,57,1071,120,85.64786641415179,55.40413420278111,329.51964595960277,75.40048200526807,276.86490175457055,317.1065190781688
75,511,276,377,258,78,447,217,326,193,13,467,543,490,204,0,0,0,5,1,0,207,30,0,321,126,224,21,102,992,204,131.4879223913039,50.88425914948295,382.8165674672375,87.50872677238492,45.75518070205484,30.28114414540805
76,1208,78,94,58,62,1142,21,35,8,1,497,491,512,246,0,0,0,0,1,0,387,5,237,716,363,1,22,34,961,246,49.885810709663524,33.06554061362097,202.07413068616444,55.025671774392386,156.413234160608,220.25977068019856
77,219,312,706,193,70,172,236,638,144,0,501,514,485,119,0,0,0,0,0,0,53,10,0,106,66,354,243,284,1071,119,17.182572229838303,13.667657059481959,241.03152637338738,66.501819647393,22.086109523060614,6.014505090694523
78,349,318,653,116,64,302,252,596,58,5,520,493,487,216,0,0,0,2,0,0,0,2,110,38,257,405,145,191,997,216,8.562598874935528,3.1821352164184487,208.52676588505787,59.58626107206307,15.268226305257963,2.8105421042289747
79,403,73,269,696,59,352,7,211,642,0,487,493,520,211,0,0,1,0,6,0,232,1,2,276,74,155,43,56,1001,211,48.526424097782254,41.967257082847844,186.97450796239923,51.61467721559404,148.41447136030072,216.70500264865626
80,213,401,570,251,65,152,328,509,192,11,502,497,501,155,0,0,0,0,33,0,66,4,15,109,29,290,174,219,1037,155,10.075540439118193,3.6564033869743744,239.9484539548192,65.42221582881295,16.915551115656935,4.20590924886703
81,936,281,110,104,69,883,226,57,26,11,511,482,507,100,0,0,0,8,0,0,391,9,2,555,326,0,35,57,1103,100,65.73967315646533,45.25805088247329,265.73741823903225,63.215993271897425,2745.022692941118,5223.449696776379
82,487,70,376,499,68,430,4,314,436,0,488,500,512,176,0,0,0,0,0,0,225,0,64,264,154,162,113,152,1008,176,9.588402034634314,3.9100844113385227,200.53699455654842,57.54918171167023,20.34341562346739,4.651126973006974
83,862,78,113,385,62,812,6,47,322,6,491,500,509,114,0,0,11,2,0,0,394,6,88,463,349,0,32,47,1079,114,37.63589156298406,34.836872500209935,276.02285851993065,72.57525602262515,52.704081358342606,27.754222441677918
84,242,85,656,458,59,194,26,597,386,6,471,510,519,194,0,0,0,0,0,0,14,2,43,124,35,394,158,203,1015,194,11.02353172237898,4.654701732747259,123.00115716817314,41.64967970741024,24.39446570275824,4.3079055620793785
85,139,59,685,557,60,81,11,628,484,11,495,483,522,117,0,0,3,3,4,0,36,7,3,56,22,351,239,277,1098,117,9.823397622003649,4.260284778322163,222.08818156702324,63.23929298330734,19.464309853628944,15.759129922493813
86,200,69,629,529,73,132,7,569,479,13,522,476,502,121,0,0,0,0,1,0,29,2,8,72,59,353,171,216,1079,121,9.793767419923922,4.064606491098639,228.33562095094993,61.921880723031286,20.80904621145192,4.996001740631191
87,119,61,867,390,63,56,9,794,327,8,473,521,506,181,0,0,0,2,0,0,12,7,0,50,6,389,370,405,1013,181,11.665391493518674,5.399514217687814,164.56646431457338,56.50324600734484,9.623251897117603,4.18902960223842
88,747,67,113,517,56,682,7,54,455,2,512,483,505,176,0,0,0,2,0,0,377,2,1,520,161,3,27,51,1024,176,38.4802121885005,24.652251987671374,246.67378541873867,61.83645606125063,549.6539080914358,643.3617825834071
