Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,80
Parameter: tHigherSitL,100
Parameter: tLowerSitDB,80
Parameter: tHigherSitDB,100
Parameter: tLowerSitNB,80
Parameter: tHigherSitNB,100
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,DB_HighThreat_Series

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical,l_loss_mean,l_loss_ci95,db_loss_mean,db_loss_ci95,nb_loss_mean,nb_loss_ci95
72,345,74,111,625,74,299,17,56,562,0,484,497,519,188,271,0,0,0,0,0,382,17,6,233,65,14,26,42,746,188,935.5463775481156,232.3269243232557,98.98559827093507,15.076865996457329,11.659314088091955,3.2533706289802597
73,407,88,87,577,68,337,23,35,511,2,509,489,502,215,273,0,1,0,0,0,379,18,9,288,48,2,33,33,693,215,1026.2056906651394,232.4984572862416,93.26186132338056,13.483349042500299,10.128314240488823,5.26100063893946
74,591,92,104,385,63,536,27,49,332,7,496,488,516,184,265,0,0,0,0,0,376,24,5,486,47,12,33,37,767,184,1026.246603578509,238.2713355988538,98.59543904348611,15.060491635238256,24.22809028926504,25.886474806508044
75,577,89,106,390,72,506,29,39,331,18,516,459,525,198,266,0,0,0,0,0,366,29,9,471,31,0,33,39,725,198,1159.7302952827497,244.1783554388255,89.42566993902453,14.771386514029272,15.38215470252659,12.944557137790554
76,682,126,489,121,61,612,62,447,57,5,488,497,515,177,21,0,0,0,0,0,18,16,97,294,295,365,44,82,1006,177,833.7259434923066,193.7568009596016,63.48129924296314,9.869819556443053,78.56578815520868,27.294635022045068
77,504,86,83,455,62,436,21,27,388,9,523,494,483,184,310,0,0,0,0,0,380,18,12,392,34,1,25,26,697,184,1028.296137831065,242.07758941950615,93.92182994154375,15.113020073629214,8.625295466033446,9.024421212370084
78,820,118,116,107,60,754,59,54,48,1,505,492,503,161,279,0,0,0,1,0,378,29,76,647,31,12,29,42,755,161,1063.9098746503782,238.70627798984287,90.53097261160104,13.505096886063,409.9597346073795,328.4551910230043
79,422,95,121,557,64,366,40,55,491,6,488,485,527,217,241,0,1,0,1,0,368,38,7,305,58,14,24,41,741,217,940.6286421304317,220.4959562318284,93.5264109516648,13.994708183819853,5.688790439467392,1.8794954533285475
80,646,333,121,109,66,594,261,58,50,10,501,486,513,235,225,0,0,0,1,0,352,27,57,495,95,30,12,28,738,235,981.5888720133843,218.86068145339488,97.030636566719,13.802751358067052,20.178983906787675,16.09750391349428
81,842,73,111,105,73,774,25,62,51,0,514,498,488,146,296,0,0,0,0,0,377,21,68,674,32,22,33,40,766,146,954.1083342785042,220.93970284687853,95.07121026865833,14.348365405997342,9.927477037934153,3.4756896161569064
