Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,20
Parameter: tHigherSitL,40
Parameter: tLowerSitDB,20
Parameter: tHigherSitDB,40
Parameter: tLowerSitNB,20
Parameter: tHigherSitNB,40
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,NB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,NB_LowThreat_Series

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical,l_loss_mean,l_loss_ci95,db_loss_mean,db_loss_ci95,nb_loss_mean,nb_loss_ci95
73,66,534,371,444,85,8,477,311,394,20,482,504,514,168,0,0,27,11,140,0,31,268,0,4,4,242,69,69,1042,168,2.8127591516065045,1.5699684828216394,113.95996274946565,24.04692939493314,6.193931178503606,2.4698814960039104
74,81,89,190,729,411,26,37,139,677,353,479,516,505,128,0,0,21,72,275,0,24,35,10,6,15,110,12,29,1081,128,5.12415204159437,2.0057827429613075,inf,nan,5.201757406578284,2.730145451578661
75,92,391,361,529,127,31,332,288,472,74,492,510,498,135,0,0,32,43,107,0,20,250,11,12,14,268,14,20,1062,135,4.355154038046314,1.8889608854683657,86.5017648789691,20.590552448428056,5.353611693181064,1.7616089010252385
76,77,143,303,539,438,16,78,244,479,380,488,500,512,126,0,0,27,204,132,0,28,55,6,5,10,238,2,6,1071,126,3.163983227443435,1.3003629150920069,425.7753864498146,139.75623736538654,9.62914004850008,3.8061145210567813
77,99,184,440,508,269,42,131,377,455,197,501,491,508,90,0,0,33,153,24,0,15,120,21,1,39,358,6,19,1112,90,5.79355643606811,2.149353923407484,245.64141546271298,53.48283803446356,5.59699133999411,1.7537718440566952
78,122,207,373,493,305,66,154,311,428,239,480,517,503,127,0,0,75,153,103,0,5,88,28,1,65,297,14,14,1071,127,2.802271968259113,1.2630029445910678,110.14986395994974,34.10486919415253,9.915803107712842,3.7442937648155925
79,92,466,267,488,187,29,403,216,424,132,519,489,492,181,0,0,36,29,176,0,26,327,14,11,8,186,24,30,1023,181,3.9173010102617174,1.5676692062568924,101.98334113445533,22.732333120646885,9.125863169143384,3.9675514952991273
80,73,318,215,774,120,10,267,162,706,56,486,498,516,187,0,0,129,47,1,0,263,267,0,1,9,134,13,28,1014,187,4.530616353078291,1.700545538941466,90.33603294751343,27.866759443431263,6.750676999542049,3.238957516912107
81,81,176,386,493,364,20,117,329,434,305,516,483,501,122,0,0,30,253,30,0,25,84,6,8,6,326,2,3,1083,122,3.5516144108068746,1.3768880357601028,485.41618953298143,99.87864695929564,5.784110898406055,2.1011067609358625
82,89,448,462,309,192,22,388,398,251,142,515,501,484,126,0,0,9,62,60,0,14,76,7,9,7,322,37,76,1075,126,8.053960276414605,2.319433083281858,126.54356143618814,21.80710486799123,6.313699653356774,1.447200041264161
