source_file,source_path,condition,role,run,adaptive_count,maladaptive_count,total_complex_behaviors,adaptive_pct,maladaptive_pct
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,109,1629,189,1818,89.60396039603961,10.396039603960396
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,110,1602,209,1811,88.45941468801767,11.54058531198233
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,111,1656,211,1867,88.69844670594537,11.301553294054633
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,112,1493,454,1947,76.68207498715974,23.31792501284027
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,113,1720,239,1959,87.79989790709546,12.200102092904542
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,114,1535,252,1787,85.89815332960269,14.101846670397315
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,115,1567,246,1813,86.43132928847214,13.568670711527856
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,116,1663,299,1962,84.76044852191642,15.239551478083587
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,117,1657,291,1948,85.06160164271047,14.938398357289529
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,118,1526,227,1753,87.05077010838562,12.949229891614374
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,119,1735,222,1957,88.65610628513029,11.343893714869699
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,120,1490,469,1959,76.05921388463501,23.940786115364983
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,121,1647,286,1933,85.2043455768236,14.79565442317641
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,122,1692,317,2009,84.22100547536088,15.778994524639122
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,123,1552,405,1957,79.30505876341338,20.69494123658661
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,124,1612,335,1947,82.79404211607601,17.205957883923986
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,125,1655,291,1946,85.04624871531347,14.953751284686536
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,126,1625,308,1933,84.06621831350233,15.933781686497673
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,127,1660,309,1969,84.30675469781616,15.69324530218385
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,128,1689,279,1968,85.82317073170732,14.176829268292682
